satelite,timestamp,Mode,๐ป Power,๐ Distance,๐ Elevation,๐ถ RSSI,SNR,Predicted Doppler,Frequency Error,CRC Error,Received by
"






          PICO-1B-7 โ๏ธ
        ","Mar 18, 2025 12:08:57 (3 days ago)",LoRa@450.1875,631mW,1185Km,22.23ยบ,-119 dBm,-5 dB,3912.47Hz,2267.02Hz,"

",1 Stations
"






          Vladivostok-1 ๐
        ","Mar 15, 2025 22:06:10 (6 days ago)",LoRa@436.804,800mW,1157Km,19.86ยบ,-125.5 dBm,-8.5 dB,-3188.24Hz,-2157.97Hz,"

",2 Stations
"






          Vladivostok-1 ๐
        ","Mar 15, 2025 22:06:08 (6 days ago)",LoRa@436.804,800mW,1152Km,19.98ยบ,-127.5 dBm,-10.5 dB,-3062.16Hz,-2325.74Hz,"

",2 Stations
"






          Vladivostok-1 ๐
        ","Mar 15, 2025 22:05:18 (6 days ago)",LoRa@436.804,800mW,1106Km,21.27ยบ,-122.75 dBm,-5.75 dB,408.71Hz,-6163.53Hz,"

",2 Stations
"






          Vladivostok-1 ๐
        ","Mar 15, 2025 22:05:15 (6 days ago)",LoRa@436.804,800mW,1107Km,21.24ยบ,-128 dBm,-10 dB,624.37Hz,-6301.94Hz,"

",2 Stations
"






          Unknown
        ","Mar 15, 2025 21:56:54 (6 days ago)",LoRa@436,- -,572Km,64.28ยบ,-124.5 dBm,-10.5 dB,-3696.57Hz,-109.05Hz,"

",1 Stations
"






          Unknown
        ","Mar 15, 2025 21:24:13 (6 days ago)",LoRa@436.2445,- -,525Km,63.12ยบ,-120.25 dBm,-7.25 dB,970.07Hz,-4765.78Hz,"

",1 Stations
"






          HOD-HOD-1A ๐
        ","Mar 15, 2025 21:23:12 (6 days ago)",LoRa@436.2445,4000mW,724Km,38.24ยบ,-125.75 dBm,-12.75 dB,7478.42Hz,-11879.32Hz,"

",1 Stations
"






          Tianqi-24 โ๏ธ
        ","Mar 15, 2025 20:13:05 (6 days ago)",LoRa@400.265,9000mW,896Km,63.88ยบ,-122.75 dBm,-11.75 dB,-1602.94Hz,-804.26Hz,"

",1 Stations
"






          Tianqi-24 โ๏ธ
        ","Mar 15, 2025 20:12:50 (6 days ago)",LoRa@400.265,9000mW,884Km,65.81ยบ,-116 dBm,-5 dB,-608.28Hz,-1890.58Hz,"

",1 Stations
"






          Tianqi-24 โ๏ธ
        ","Mar 15, 2025 20:12:35 (6 days ago)",LoRa@400.265,9000mW,882Km,65.95ยบ,-119 dBm,-8 dB,409.85Hz,-3004.17Hz,"

",1 Stations
"






          Tianqi-24 โ๏ธ
        ","Mar 15, 2025 20:12:20 (6 days ago)",LoRa@400.265,9000mW,893Km,64.27ยบ,-118.25 dBm,-7.25 dB,1412.43Hz,-4107.27Hz,"

",1 Stations
"






          Tianqi-24 โ๏ธ
        ","Mar 15, 2025 20:12:13 (6 days ago)",LoRa@400.265,9000mW,901Km,62.97ยบ,-120.75 dBm,-9.75 dB,1864.53Hz,-5147.46Hz,"

",1 Stations
"






          Tianqi-24 โ๏ธ
        ","Mar 15, 2025 20:11:35 (6 days ago)",LoRa@400.265,9000mW,986Km,53.18ยบ,-121 dBm,-9 dB,4012.06Hz,-6955.20Hz,"

",1 Stations
"






          Tianqi-24 โ๏ธ
        ","Mar 15, 2025 20:11:21 (6 days ago)",LoRa@400.265,9000mW,1032Km,49.29ยบ,-110.75 dBm,-0.75 dB,4647.22Hz,-7699.69Hz,"

",1 Stations
"






          Tianqi-24 โ๏ธ
        ","Mar 15, 2025 20:11:06 (6 days ago)",LoRa@400.265,9000mW,1087Km,45.28ยบ,-125.25 dBm,-13.25 dB,5234.33Hz,-8339.33Hz,"

",1 Stations
"






          Tianqi-24 โ๏ธ
        ","Mar 15, 2025 20:10:50 (6 days ago)",LoRa@400.265,9000mW,1153Km,41.27ยบ,-116.75 dBm,-5.75 dB,5763.15Hz,-8869.90Hz,"

",1 Stations
"






          Tianqi-24 โ๏ธ
        ","Mar 15, 2025 20:10:35 (6 days ago)",LoRa@400.265,9000mW,1221Km,37.79ยบ,-115.75 dBm,-4.75 dB,6178.79Hz,-9324.99Hz,"

",1 Stations
"






          Tianqi-24 โ๏ธ
        ","Mar 15, 2025 20:10:20 (6 days ago)",LoRa@400.265,9000mW,1292Km,34.60ยบ,-118.25 dBm,-7.25 dB,6528.17Hz,-9710.86Hz,"

",1 Stations
"






          Tianqi-24 โ๏ธ
        ","Mar 15, 2025 20:10:05 (6 days ago)",LoRa@400.265,9000mW,1367Km,31.67ยบ,-120 dBm,-10 dB,6821.65Hz,-10033.82Hz,"

",1 Stations
"






          Tianqi-24 โ๏ธ
        ","Mar 15, 2025 20:09:50 (6 days ago)",LoRa@400.265,9000mW,1445Km,28.98ยบ,-121 dBm,-11 dB,7068.43Hz,-10308.55Hz,"

",1 Stations
"






          Tianqi-24 โ๏ธ
        ","Mar 15, 2025 20:09:35 (6 days ago)",LoRa@400.265,9000mW,1526Km,26.52ยบ,-121 dBm,-11 dB,7276.35Hz,-10537.14Hz,"

",1 Stations
"






          Tianqi-24 โ๏ธ
        ","Mar 15, 2025 20:09:05 (6 days ago)",LoRa@400.265,9000mW,1693Km,22.15ยบ,-121 dBm,-11 dB,7600.78Hz,-10887.36Hz,"

",1 Stations
"






          Tianqi-24 โ๏ธ
        ","Mar 15, 2025 20:08:50 (6 days ago)",LoRa@400.265,9000mW,1779Km,20.21ยบ,-120 dBm,-9 dB,7727.18Hz,-11023.68Hz,"

",1 Stations
"






          Tianqi-24 โ๏ธ
        ","Mar 15, 2025 20:08:35 (6 days ago)",LoRa@400.265,9000mW,1867Km,18.41ยบ,-122.5 dBm,-11.5 dB,7834.83Hz,-11134.83Hz,"

",1 Stations
"






          Tianqi-24 โ๏ธ
        ","Mar 15, 2025 20:08:20 (6 days ago)",LoRa@400.265,9000mW,1955Km,16.73ยบ,-126 dBm,-15 dB,7926.72Hz,-11239.69Hz,"

",1 Stations
"






          Tianqi-24 โ๏ธ
        ","Mar 15, 2025 20:07:35 (6 days ago)",LoRa@400.265,9000mW,2226Km,12.27ยบ,-122.75 dBm,-10.75 dB,8130.09Hz,-11468.28Hz,"

",1 Stations
"






          Tianqi-24 โ๏ธ
        ","Mar 15, 2025 20:07:20 (6 days ago)",LoRa@400.265,9000mW,2318Km,10.95ยบ,-125.75 dBm,-13.75 dB,8179.33Hz,-11529.09Hz,"

",2 Stations
"






          Unknown
        ","Mar 15, 2025 18:13:08 (6 days ago)",LoRa@436.703,- -,2456Km,0.67ยบ,-127.25 dBm,-16.25 dB,-1811.19Hz,-1663.04Hz,"

",1 Stations
"






          Tianqi-31 โ๏ธ
        ","Mar 15, 2025 16:49:45 (6 days ago)",LoRa@400.265,9000mW,3227Km,2.44ยบ,-121.25 dBm,-11.25 dB,4331.66Hz,-8702.13Hz,"

",1 Stations
"






          Tianqi-31 โ๏ธ
        ","Mar 15, 2025 16:48:46 (6 days ago)",LoRa@400.265,9000mW,3433Km,0.51ยบ,-125 dBm,-14 dB,4955.76Hz,-9425.65Hz,"

",1 Stations
"






          Tianqi-35 โ๏ธ
        ","Mar 15, 2025 16:34:24 (6 days ago)",LoRa@400.265,9000mW,2576Km,9.98ยบ,-124.25 dBm,-13.25 dB,1895.27Hz,-6422.53Hz,"

",1 Stations
"






          Tianqi-35 โ๏ธ
        ","Mar 15, 2025 16:34:10 (6 days ago)",LoRa@400.265,9000mW,2598Km,9.70ยบ,-122 dBm,-12 dB,2168.85Hz,-6762.27Hz,"

",1 Stations
"






          Tianqi-35 โ๏ธ
        ","Mar 15, 2025 16:33:59 (6 days ago)",LoRa@400.265,9000mW,2616Km,9.46ยบ,-121.25 dBm,-10.25 dB,2378.73Hz,-7085.23Hz,"

",1 Stations
"






          Tianqi-35 โ๏ธ
        ","Mar 15, 2025 16:33:41 (6 days ago)",LoRa@400.265,9000mW,2651Km,9.03ยบ,-119.25 dBm,-8.25 dB,2711.63Hz,-7406.09Hz,"

",1 Stations
"






          Tianqi-35 โ๏ธ
        ","Mar 15, 2025 16:33:41 (6 days ago)",LoRa@400.265,9000mW,2651Km,9.03ยบ,-114.75 dBm,-4.75 dB,2711.63Hz,-7712.28Hz,"

",1 Stations
"






          Tianqi-35 โ๏ธ
        ","Mar 15, 2025 16:33:09 (6 days ago)",LoRa@400.265,9000mW,2723Km,8.14ยบ,-116 dBm,-6 dB,3268.38Hz,-8016.36Hz,"

",1 Stations
"






          Tianqi-35 โ๏ธ
        ","Mar 15, 2025 16:32:55 (6 days ago)",LoRa@400.265,9000mW,2758Km,7.71ยบ,-115.75 dBm,-5.75 dB,3496.98Hz,-8303.67Hz,"

",1 Stations
"






          Tianqi-35 โ๏ธ
        ","Mar 15, 2025 16:32:39 (6 days ago)",LoRa@400.265,9000mW,2801Km,7.20ยบ,-118 dBm,-8 dB,3746.74Hz,-8578.40Hz,"

",1 Stations
"






          Tianqi-33 โ๏ธ
        ","Mar 15, 2025 15:41:54 (6 days ago)",LoRa@400.265,9000mW,1537Km,30.44ยบ,-128.75 dBm,-15.75 dB,-2011.28Hz,-1884.29Hz,"

",1 Stations
"






          Tianqi-33 โ๏ธ
        ","Mar 15, 2025 15:41:39 (6 days ago)",LoRa@400.265,9000mW,1517Km,31.08ยบ,-125 dBm,-13 dB,-1476.37Hz,-2473.59Hz,"

",1 Stations
"






          Tianqi-33 โ๏ธ
        ","Mar 15, 2025 15:41:09 (6 days ago)",LoRa@400.265,9000mW,1496Km,31.77ยบ,-125.25 dBm,-13.25 dB,-358.00Hz,-3704.62Hz,"

",1 Stations
"






          Tianqi-33 โ๏ธ
        ","Mar 15, 2025 15:40:54 (6 days ago)",LoRa@400.265,9000mW,1495Km,31.79ยบ,-123.5 dBm,-10.5 dB,212.00Hz,-4333.77Hz,"

",1 Stations
"






          Tianqi-33 โ๏ธ
        ","Mar 15, 2025 15:40:40 (6 days ago)",LoRa@400.265,9000mW,1500Km,31.62ยบ,-114.25 dBm,-3.25 dB,741.85Hz,-4956.62Hz,"

",1 Stations
"






          Tianqi-33 โ๏ธ
        ","Mar 15, 2025 15:38:19 (6 days ago)",LoRa@400.45,9000mW,1825Km,22.58ยบ,-115.5 dBm,-9.5 dB,4992.54Hz,-10125.05Hz,"

",1 Stations
"






          Tianqi-33 โ๏ธ
        ","Mar 15, 2025 15:38:04 (6 days ago)",LoRa@400.45,9000mW,1883Km,21.30ยบ,-118 dBm,-12 dB,5288.24Hz,-10443.82Hz,"

",1 Stations
"






          Tianqi-33 โ๏ธ
        ","Mar 15, 2025 15:36:49 (6 days ago)",LoRa@400.45,9000mW,2214Km,15.12ยบ,-118.75 dBm,-12.75 dB,6393.49Hz,-11601.45Hz,"

",1 Stations
"






          Tianqi-30 โ๏ธ
        ","Mar 15, 2025 15:32:25 (6 days ago)",LoRa@400.45,9000mW,1477Km,32.14ยบ,-116.25 dBm,-10.25 dB,3193.32Hz,-8128.56Hz,"

",1 Stations
"






          Tianqi-30 โ๏ธ
        ","Mar 15, 2025 15:32:10 (6 days ago)",LoRa@400.45,9000mW,1516Km,30.83ยบ,-114.5 dBm,-8.5 dB,3677.24Hz,-8766.10Hz,"

",1 Stations
"






          Tianqi-30 โ๏ธ
        ","Mar 15, 2025 15:31:10 (6 days ago)",LoRa@400.45,9000mW,1718Km,25.00ยบ,-110.5 dBm,-5.5 dB,5232.09Hz,-10443.82Hz,"

",1 Stations
"






          Tianqi-30 โ๏ธ
        ","Mar 15, 2025 15:30:55 (6 days ago)",LoRa@400.45,9000mW,1779Km,23.52ยบ,-119 dBm,-13 dB,5532.11Hz,-10645.14Hz,"

",1 Stations
"






          Tianqi-34 โ๏ธ
        ","Mar 15, 2025 15:10:09 (6 days ago)",LoRa@400.265,9000mW,1940Km,20.23ยบ,-122.75 dBm,-11.75 dB,7152.40Hz,-12261.00Hz,"

",1 Stations
"






          Tianqi-34 โ๏ธ
        ","Mar 15, 2025 15:09:54 (6 days ago)",LoRa@400.265,9000mW,2021Km,18.63ยบ,-118.5 dBm,-7.5 dB,7281.11Hz,-12411.99Hz,"

",1 Stations
"






          Tianqi-34 โ๏ธ
        ","Mar 15, 2025 15:09:39 (6 days ago)",LoRa@400.265,9000mW,2104Km,17.11ยบ,-119.25 dBm,-8.25 dB,7393.72Hz,-12535.73Hz,"

",1 Stations
"






          Tianqi-34 โ๏ธ
        ","Mar 15, 2025 15:09:24 (6 days ago)",LoRa@400.265,9000mW,2187Km,15.66ยบ,-123.5 dBm,-12.5 dB,7492.34Hz,-12648.97Hz,"

",1 Stations
"






          Tianqi-34 โ๏ธ
        ","Mar 15, 2025 15:09:09 (6 days ago)",LoRa@400.265,9000mW,2272Km,14.29ยบ,-122.75 dBm,-11.75 dB,7578.76Hz,-12747.54Hz,"

",1 Stations
"






          Tianqi-34 โ๏ธ
        ","Mar 15, 2025 15:08:54 (6 days ago)",LoRa@400.265,9000mW,2357Km,12.98ยบ,-126.75 dBm,-14.75 dB,7654.54Hz,-12835.62Hz,"

",1 Stations
"






          Tianqi-34 โ๏ธ
        ","Mar 15, 2025 15:08:39 (6 days ago)",LoRa@400.265,9000mW,2444Km,11.73ยบ,-124.5 dBm,-13.5 dB,7720.98Hz,-12902.73Hz,"

",1 Stations
"






          Tianqi ... ๐ค TLE โ
        ","Mar 15, 2025 15:06:25 (6 days ago)",LoRa@400.45,9000mW,- -,- -,-121.25 dBm,-12.25 dB,- -,-2239.76Hz,"

",1 Stations
"






          Tianqi-31 โ๏ธ
        ","Mar 15, 2025 15:05:25 (6 days ago)",LoRa@400.45,9000mW,984Km,63.33ยบ,-117.25 dBm,-11.25 dB,923.79Hz,-6031.41Hz,"

",1 Stations
"






          Tianqi-31 โ๏ธ
        ","Mar 15, 2025 15:02:25 (6 days ago)",LoRa@400.45,9000mW,1617Km,27.70ยบ,-113 dBm,-8 dB,6979.11Hz,-12675.19Hz,"

",1 Stations
"






          Tianqi-31 โ๏ธ
        ","Mar 15, 2025 15:02:10 (6 days ago)",LoRa@400.45,9000mW,1696Km,25.54ยบ,-113.25 dBm,-8.25 dB,7155.70Hz,-13094.62Hz,"

",1 Stations
"






          Unknown
        ","Mar 15, 2025 12:44:54 (6 days ago)",LoRa@401.7,- -,2114Km,4.92ยบ,-124.75 dBm,-19.75 dB,-4364.25Hz,1607.99Hz,"

",1 Stations
"






          Vladivostok-1 ๐
        ","Mar 14, 2025 22:32:13 (7 days ago)",LoRa@436.804,800mW,2027Km,5.00ยบ,-126 dBm,-9 dB,-5248.51Hz,27.26Hz,"

",2 Stations
"






          Vladivostok-1 ๐
        ","Mar 14, 2025 22:32:11 (7 days ago)",LoRa@436.804,800mW,2020Km,5.08ยบ,-126.75 dBm,-9.75 dB,-5191.20Hz,-39.85Hz,"

",2 Stations
"






          Unknown
        ","Mar 14, 2025 22:12:25 (7 days ago)",LoRa@436,- -,870Km,33.55ยบ,-123.75 dBm,-9.75 dB,-7869.38Hz,4269.80Hz,"

",1 Stations
"






          ReshUCube-2 ๐
        ","Mar 14, 2025 22:11:25 (7 days ago)",LoRa@436,1000mW,623Km,54.94ยบ,-121 dBm,-7 dB,-3364.38Hz,-578.81Hz,"

",1 Stations
"






          Norby โ๏ธ
        ","Mar 14, 2025 17:06:57 (7 days ago)",LoRa@436.7024,7000mW,1274Km,16.98ยบ,-126.5 dBm,-14.5 dB,-9198.94Hz,4796.19Hz,"

",2 Stations
"






          Unknown
        ","Mar 14, 2025 17:05:56 (7 days ago)",LoRa@436.7024,- -,919Km,28.20ยบ,-129.25 dBm,-18.25 dB,-7477.65Hz,-60525.90Hz,"

",2 Stations
"






          Norby โ๏ธ
        ","Mar 14, 2025 17:04:55 (7 days ago)",LoRa@436.7024,7000mW,688Km,42.49ยบ,-120 dBm,-8 dB,-2892.19Hz,-2216.69Hz,"

",1 Stations
"






          Norby โ๏ธ
        ","Mar 14, 2025 17:03:54 (7 days ago)",LoRa@436.7024,7000mW,715Km,40.33ยบ,-119.5 dBm,-8.5 dB,4057.83Hz,-9867.10Hz,"

",1 Stations
"






          Tianqi-32 โ๏ธ
        ","Mar 14, 2025 16:24:15 (7 days ago)",LoRa@400.265,9000mW,2201Km,15.13ยบ,-118.5 dBm,-11.5 dB,4413.03Hz,-10358.88Hz,"

",1 Stations
"






          Tianqi-32 โ๏ธ
        ","Mar 14, 2025 16:23:30 (7 days ago)",LoRa@400.265,9000mW,2363Km,12.64ยบ,-123.5 dBm,-16.5 dB,5163.41Hz,-11178.87Hz,"

",1 Stations
"






          Tianqi-32 โ๏ธ
        ","Mar 14, 2025 16:23:16 (7 days ago)",LoRa@400.265,9000mW,2418Km,11.84ยบ,-116.5 dBm,-9.5 dB,5363.92Hz,-11413.75Hz,"

",1 Stations
"






          Tianqi-32 โ๏ธ
        ","Mar 14, 2025 16:23:01 (7 days ago)",LoRa@400.265,9000mW,2480Km,11.00ยบ,-116.5 dBm,-9.5 dB,5562.83Hz,-11636.05Hz,"

",1 Stations
"






          Tianqi-32 โ๏ธ
        ","Mar 14, 2025 16:22:30 (7 days ago)",LoRa@400.265,9000mW,2613Km,9.25ยบ,-121.5 dBm,-14.5 dB,5925.93Hz,-12007.24Hz,"

",1 Stations
"






          Tianqi-32 โ๏ธ
        ","Mar 14, 2025 16:22:15 (7 days ago)",LoRa@400.265,9000mW,2681Km,8.41ยบ,-121 dBm,-13 dB,6080.46Hz,-12179.21Hz,"

",1 Stations
"






          Tianqi-32 โ๏ธ
        ","Mar 14, 2025 16:22:01 (7 days ago)",LoRa@400.265,9000mW,2745Km,7.64ยบ,-119.25 dBm,-12.25 dB,6213.38Hz,-12340.69Hz,"

",1 Stations
"






          Tianqi-32 โ๏ธ
        ","Mar 14, 2025 16:21:31 (7 days ago)",LoRa@400.265,9000mW,2888Km,6.01ยบ,-116.25 dBm,-9.25 dB,6464.94Hz,-12609.13Hz,"

",1 Stations
"






          Tianqi-32 โ๏ธ
        ","Mar 14, 2025 16:21:15 (7 days ago)",LoRa@400.265,9000mW,2966Km,5.16ยบ,-117 dBm,-9 dB,6582.38Hz,-12730.76Hz,"

",1 Stations
"






          Tianqi-32 โ๏ธ
        ","Mar 14, 2025 16:21:02 (7 days ago)",LoRa@400.265,9000mW,3030Km,4.47ยบ,-115.25 dBm,-8.25 dB,6670.08Hz,-12844.01Hz,"

",1 Stations
"






          Tianqi-32 โ๏ธ
        ","Mar 14, 2025 16:20:31 (7 days ago)",LoRa@400.265,9000mW,3187Km,2.88ยบ,-117.75 dBm,-9.75 dB,6854.11Hz,-13032.75Hz,"

",1 Stations
"






          Tianqi-36 โ๏ธ
        ","Mar 14, 2025 16:04:49 (7 days ago)",LoRa@400.45,9000mW,1720Km,25.26ยบ,-111.25 dBm,-9.25 dB,3705.65Hz,-9990.83Hz,"

",1 Stations
"






          Tianqi-36 โ๏ธ
        ","Mar 14, 2025 16:04:34 (7 days ago)",LoRa@400.45,9000mW,1763Km,24.16ยบ,-113.75 dBm,-11.75 dB,4093.80Hz,-10208.94Hz,"

",1 Stations
"






          Tianqi-36 โ๏ธ
        ","Mar 14, 2025 16:04:19 (7 days ago)",LoRa@400.45,9000mW,1811Km,23.01ยบ,-114.75 dBm,-12.75 dB,4452.13Hz,-10678.70Hz,"

",1 Stations
"






          Tianqi-36 โ๏ธ
        ","Mar 14, 2025 16:04:04 (7 days ago)",LoRa@400.45,9000mW,1863Km,21.84ยบ,-113.25 dBm,-11.25 dB,4781.28Hz,-11232.35Hz,"

",1 Stations
"






          Tianqi-33 โ๏ธ
        ","Mar 14, 2025 15:39:04 (7 days ago)",LoRa@400.45,9000mW,1231Km,43.24ยบ,-112.5 dBm,-10.5 dB,3045.18Hz,-9000.98Hz,"

",1 Stations
"






          Tianqi-33 โ๏ธ
        ","Mar 14, 2025 15:38:49 (7 days ago)",LoRa@400.45,9000mW,1269Km,41.22ยบ,-112.25 dBm,-11.25 dB,3634.51Hz,-9638.51Hz,"

",1 Stations
"






          Tianqi-33 โ๏ธ
        ","Mar 14, 2025 15:38:34 (7 days ago)",LoRa@400.45,9000mW,1313Km,39.05ยบ,-113.25 dBm,-11.25 dB,4169.22Hz,-10208.94Hz,"

",1 Stations
"






          Tianqi-33 โ๏ธ
        ","Mar 14, 2025 15:36:25 (7 days ago)",LoRa@400.265,9000mW,1869Km,21.59ยบ,-119.25 dBm,-11.25 dB,6858.17Hz,-12772.70Hz,"

",1 Stations
"






          Tianqi-34 โ๏ธ
        ","Mar 14, 2025 15:09:54 (7 days ago)",LoRa@400.265,9000mW,1653Km,27.05ยบ,-122.75 dBm,-15.75 dB,7269.03Hz,-12508.46Hz,"

",1 Stations
"






          Unknown
        ","Mar 11, 2025 21:38:59 (10 days ago)",LoRa@436.2445,- -,580Km,52.99ยบ,-129 dBm,-20 dB,4790.02Hz,-8861.52Hz,"

",2 Stations
