satelite,timestamp,Mode,📻 Power,📏 Distance,📐 Elevation,📶 RSSI,SNR,Predicted Doppler,Frequency Error,CRC Error,Received by
          PICO-1B-7 ☀️        ,2025-03-18 12:08:57,450.1875,631,1185,22.23,-119 ,-5 ,3912.47,2267.02,"

",1 
          Vladivostok-1 🌜        ,2025-03-15 22:06:10,436.804,800,1157,19.86,-125.5 ,-8.5 ,-3188.24,-2157.97,"

",2 
          Vladivostok-1 🌜        ,2025-03-15 22:06:08,436.804,800,1152,19.98,-127.5 ,-10.5 ,-3062.16,-2325.74,"

",2 
          Vladivostok-1 🌜        ,2025-03-15 22:05:18,436.804,800,1106,21.27,-122.75 ,-5.75 ,408.71,-6163.53,"

",2 
          Vladivostok-1 🌜        ,2025-03-15 22:05:15,436.804,800,1107,21.24,-128 ,-10 ,624.37,-6301.94,"

",2 
          Unknown        ,2025-03-15 21:56:54,436,,572,64.28,-124.5 ,-10.5 ,-3696.57,-109.05,"

",1 
          Unknown        ,2025-03-15 21:24:13,436.2445,,525,63.12,-120.25 ,-7.25 ,970.07,-4765.78,"

",1 
          HOD-HOD-1A 🌜        ,2025-03-15 21:23:12,436.2445,4000,724,38.24,-125.75 ,-12.75 ,7478.42,-11879.32,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:13:05,400.265,9000,896,63.88,-122.75 ,-11.75 ,-1602.94,-804.26,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:12:50,400.265,9000,884,65.81,-116 ,-5 ,-608.28,-1890.58,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:12:35,400.265,9000,882,65.95,-119 ,-8 ,409.85,-3004.17,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:12:20,400.265,9000,893,64.27,-118.25 ,-7.25 ,1412.43,-4107.27,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:12:13,400.265,9000,901,62.97,-120.75 ,-9.75 ,1864.53,-5147.46,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:11:35,400.265,9000,986,53.18,-121 ,-9 ,4012.06,-6955.20,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:11:21,400.265,9000,1032,49.29,-110.75 ,-0.75 ,4647.22,-7699.69,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:11:06,400.265,9000,1087,45.28,-125.25 ,-13.25 ,5234.33,-8339.33,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:10:50,400.265,9000,1153,41.27,-116.75 ,-5.75 ,5763.15,-8869.90,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:10:35,400.265,9000,1221,37.79,-115.75 ,-4.75 ,6178.79,-9324.99,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:10:20,400.265,9000,1292,34.60,-118.25 ,-7.25 ,6528.17,-9710.86,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:10:05,400.265,9000,1367,31.67,-120 ,-10 ,6821.65,-10033.82,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:09:50,400.265,9000,1445,28.98,-121 ,-11 ,7068.43,-10308.55,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:09:35,400.265,9000,1526,26.52,-121 ,-11 ,7276.35,-10537.14,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:09:05,400.265,9000,1693,22.15,-121 ,-11 ,7600.78,-10887.36,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:08:50,400.265,9000,1779,20.21,-120 ,-9 ,7727.18,-11023.68,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:08:35,400.265,9000,1867,18.41,-122.5 ,-11.5 ,7834.83,-11134.83,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:08:20,400.265,9000,1955,16.73,-126 ,-15 ,7926.72,-11239.69,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:07:35,400.265,9000,2226,12.27,-122.75 ,-10.75 ,8130.09,-11468.28,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:07:20,400.265,9000,2318,10.95,-125.75 ,-13.75 ,8179.33,-11529.09,"

",2 
          Unknown        ,2025-03-15 18:13:08,436.703,,2456,0.67,-127.25 ,-16.25 ,-1811.19,-1663.04,"

",1 
          Tianqi-31 ☀️        ,2025-03-15 16:49:45,400.265,9000,3227,2.44,-121.25 ,-11.25 ,4331.66,-8702.13,"

",1 
          Tianqi-31 ☀️        ,2025-03-15 16:48:46,400.265,9000,3433,0.51,-125 ,-14 ,4955.76,-9425.65,"

",1 
          Tianqi-35 ☀️        ,2025-03-15 16:34:24,400.265,9000,2576,9.98,-124.25 ,-13.25 ,1895.27,-6422.53,"

",1 
          Tianqi-35 ☀️        ,2025-03-15 16:34:10,400.265,9000,2598,9.70,-122 ,-12 ,2168.85,-6762.27,"

",1 
          Tianqi-35 ☀️        ,2025-03-15 16:33:59,400.265,9000,2616,9.46,-121.25 ,-10.25 ,2378.73,-7085.23,"

",1 
          Tianqi-35 ☀️        ,2025-03-15 16:33:41,400.265,9000,2651,9.03,-119.25 ,-8.25 ,2711.63,-7406.09,"

",1 
          Tianqi-35 ☀️        ,2025-03-15 16:33:41,400.265,9000,2651,9.03,-114.75 ,-4.75 ,2711.63,-7712.28,"

",1 
          Tianqi-35 ☀️        ,2025-03-15 16:33:09,400.265,9000,2723,8.14,-116 ,-6 ,3268.38,-8016.36,"

",1 
          Tianqi-35 ☀️        ,2025-03-15 16:32:55,400.265,9000,2758,7.71,-115.75 ,-5.75 ,3496.98,-8303.67,"

",1 
          Tianqi-35 ☀️        ,2025-03-15 16:32:39,400.265,9000,2801,7.20,-118 ,-8 ,3746.74,-8578.40,"

",1 
          Tianqi-33 ☀️        ,2025-03-15 15:41:54,400.265,9000,1537,30.44,-128.75 ,-15.75 ,-2011.28,-1884.29,"

",1 
          Tianqi-33 ☀️        ,2025-03-15 15:41:39,400.265,9000,1517,31.08,-125 ,-13 ,-1476.37,-2473.59,"

",1 
          Tianqi-33 ☀️        ,2025-03-15 15:41:09,400.265,9000,1496,31.77,-125.25 ,-13.25 ,-358.00,-3704.62,"

",1 
          Tianqi-33 ☀️        ,2025-03-15 15:40:54,400.265,9000,1495,31.79,-123.5 ,-10.5 ,212.00,-4333.77,"

",1 
          Tianqi-33 ☀️        ,2025-03-15 15:40:40,400.265,9000,1500,31.62,-114.25 ,-3.25 ,741.85,-4956.62,"

",1 
          Tianqi-33 ☀️        ,2025-03-15 15:38:19,400.45,9000,1825,22.58,-115.5 ,-9.5 ,4992.54,-10125.05,"

",1 
          Tianqi-33 ☀️        ,2025-03-15 15:38:04,400.45,9000,1883,21.30,-118 ,-12 ,5288.24,-10443.82,"

",1 
          Tianqi-33 ☀️        ,2025-03-15 15:36:49,400.45,9000,2214,15.12,-118.75 ,-12.75 ,6393.49,-11601.45,"

",1 
          Tianqi-30 ☀️        ,2025-03-15 15:32:25,400.45,9000,1477,32.14,-116.25 ,-10.25 ,3193.32,-8128.56,"

",1 
          Tianqi-30 ☀️        ,2025-03-15 15:32:10,400.45,9000,1516,30.83,-114.5 ,-8.5 ,3677.24,-8766.10,"

",1 
          Tianqi-30 ☀️        ,2025-03-15 15:31:10,400.45,9000,1718,25.00,-110.5 ,-5.5 ,5232.09,-10443.82,"

",1 
          Tianqi-30 ☀️        ,2025-03-15 15:30:55,400.45,9000,1779,23.52,-119 ,-13 ,5532.11,-10645.14,"

",1 
          Tianqi-34 ☀️        ,2025-03-15 15:10:09,400.265,9000,1940,20.23,-122.75 ,-11.75 ,7152.40,-12261.00,"

",1 
          Tianqi-34 ☀️        ,2025-03-15 15:09:54,400.265,9000,2021,18.63,-118.5 ,-7.5 ,7281.11,-12411.99,"

",1 
          Tianqi-34 ☀️        ,2025-03-15 15:09:39,400.265,9000,2104,17.11,-119.25 ,-8.25 ,7393.72,-12535.73,"

",1 
          Tianqi-34 ☀️        ,2025-03-15 15:09:24,400.265,9000,2187,15.66,-123.5 ,-12.5 ,7492.34,-12648.97,"

",1 
          Tianqi-34 ☀️        ,2025-03-15 15:09:09,400.265,9000,2272,14.29,-122.75 ,-11.75 ,7578.76,-12747.54,"

",1 
          Tianqi-34 ☀️        ,2025-03-15 15:08:54,400.265,9000,2357,12.98,-126.75 ,-14.75 ,7654.54,-12835.62,"

",1 
          Tianqi-34 ☀️        ,2025-03-15 15:08:39,400.265,9000,2444,11.73,-124.5 ,-13.5 ,7720.98,-12902.73,"

",1 
          Tianqi ... 🤔 TLE ❌        ,2025-03-15 15:06:25,400.45,9000,,,-121.25 ,-12.25 ,,-2239.76,"

",1 
          Tianqi-31 ☀️        ,2025-03-15 15:05:25,400.45,9000,984,63.33,-117.25 ,-11.25 ,923.79,-6031.41,"

",1 
          Tianqi-31 ☀️        ,2025-03-15 15:02:25,400.45,9000,1617,27.70,-113 ,-8 ,6979.11,-12675.19,"

",1 
          Tianqi-31 ☀️        ,2025-03-15 15:02:10,400.45,9000,1696,25.54,-113.25 ,-8.25 ,7155.70,-13094.62,"

",1 
          Unknown        ,2025-03-15 12:44:54,401.7,,2114,4.92,-124.75 ,-19.75 ,-4364.25,1607.99,"

",1 
          Vladivostok-1 🌜        ,2025-03-14 22:32:13,436.804,800,2027,5.00,-126 ,-9 ,-5248.51,27.26,"

",2 
          Vladivostok-1 🌜        ,2025-03-14 22:32:11,436.804,800,2020,5.08,-126.75 ,-9.75 ,-5191.20,-39.85,"

",2 
          Unknown        ,2025-03-14 22:12:25,436,,870,33.55,-123.75 ,-9.75 ,-7869.38,4269.80,"

",1 
          ReshUCube-2 🌜        ,2025-03-14 22:11:25,436,1000,623,54.94,-121 ,-7 ,-3364.38,-578.81,"

",1 
          Norby ☀️        ,2025-03-14 17:06:57,436.7024,7000,1274,16.98,-126.5 ,-14.5 ,-9198.94,4796.19,"

",2 
          Unknown        ,2025-03-14 17:05:56,436.7024,,919,28.20,-129.25 ,-18.25 ,-7477.65,-60525.90,"

",2 
          Norby ☀️        ,2025-03-14 17:04:55,436.7024,7000,688,42.49,-120 ,-8 ,-2892.19,-2216.69,"

",1 
          Norby ☀️        ,2025-03-14 17:03:54,436.7024,7000,715,40.33,-119.5 ,-8.5 ,4057.83,-9867.10,"

",1 
          Tianqi-32 ☀️        ,2025-03-14 16:24:15,400.265,9000,2201,15.13,-118.5 ,-11.5 ,4413.03,-10358.88,"

",1 
          Tianqi-32 ☀️        ,2025-03-14 16:23:30,400.265,9000,2363,12.64,-123.5 ,-16.5 ,5163.41,-11178.87,"

",1 
          Tianqi-32 ☀️        ,2025-03-14 16:23:16,400.265,9000,2418,11.84,-116.5 ,-9.5 ,5363.92,-11413.75,"

",1 
          Tianqi-32 ☀️        ,2025-03-14 16:23:01,400.265,9000,2480,11.00,-116.5 ,-9.5 ,5562.83,-11636.05,"

",1 
          Tianqi-32 ☀️        ,2025-03-14 16:22:30,400.265,9000,2613,9.25,-121.5 ,-14.5 ,5925.93,-12007.24,"

",1 
          Tianqi-32 ☀️        ,2025-03-14 16:22:15,400.265,9000,2681,8.41,-121 ,-13 ,6080.46,-12179.21,"

",1 
          Tianqi-32 ☀️        ,2025-03-14 16:22:01,400.265,9000,2745,7.64,-119.25 ,-12.25 ,6213.38,-12340.69,"

",1 
          Tianqi-32 ☀️        ,2025-03-14 16:21:31,400.265,9000,2888,6.01,-116.25 ,-9.25 ,6464.94,-12609.13,"

",1 
          Tianqi-32 ☀️        ,2025-03-14 16:21:15,400.265,9000,2966,5.16,-117 ,-9 ,6582.38,-12730.76,"

",1 
          Tianqi-32 ☀️        ,2025-03-14 16:21:02,400.265,9000,3030,4.47,-115.25 ,-8.25 ,6670.08,-12844.01,"

",1 
          Tianqi-32 ☀️        ,2025-03-14 16:20:31,400.265,9000,3187,2.88,-117.75 ,-9.75 ,6854.11,-13032.75,"

",1 
          Tianqi-36 ☀️        ,2025-03-14 16:04:49,400.45,9000,1720,25.26,-111.25 ,-9.25 ,3705.65,-9990.83,"

",1 
          Tianqi-36 ☀️        ,2025-03-14 16:04:34,400.45,9000,1763,24.16,-113.75 ,-11.75 ,4093.80,-10208.94,"

",1 
          Tianqi-36 ☀️        ,2025-03-14 16:04:19,400.45,9000,1811,23.01,-114.75 ,-12.75 ,4452.13,-10678.70,"

",1 
          Tianqi-36 ☀️        ,2025-03-14 16:04:04,400.45,9000,1863,21.84,-113.25 ,-11.25 ,4781.28,-11232.35,"

",1 
          Tianqi-33 ☀️        ,2025-03-14 15:39:04,400.45,9000,1231,43.24,-112.5 ,-10.5 ,3045.18,-9000.98,"

",1 
          Tianqi-33 ☀️        ,2025-03-14 15:38:49,400.45,9000,1269,41.22,-112.25 ,-11.25 ,3634.51,-9638.51,"

",1 
          Tianqi-33 ☀️        ,2025-03-14 15:38:34,400.45,9000,1313,39.05,-113.25 ,-11.25 ,4169.22,-10208.94,"

",1 
          Tianqi-33 ☀️        ,2025-03-14 15:36:25,400.265,9000,1869,21.59,-119.25 ,-11.25 ,6858.17,-12772.70,"

",1 
          Tianqi-34 ☀️        ,2025-03-14 15:09:54,400.265,9000,1653,27.05,-122.75 ,-15.75 ,7269.03,-12508.46,"

",1 
          Unknown        ,2025-03-11 21:38:59,436.2445,,580,52.99,-129 ,-20 ,4790.02,-8861.52,"

",2 
